Unnamed: 0,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
346,Microsoft,Notebook,13.3,1920x1080,Intel Core i9 13900H 5.4GHz,8GB,1TB SSD,NVIDIA RTX 4050,No OS,1.89kg,129345.32
347,MSI,Gaming,15.6,Retina 2560x1600,Apple M2,32GB,512GB SSD,NVIDIA RTX 4050,Windows 11,2.5kg,45858.51
348,Asus,Netbook,15.6,1920x1080,Intel Core i5 1240P 3.3GHz,64GB,2TB SSD,Intel Iris Xe,Windows 10,2.1kg,193029.29
349,Apple,Netbook,14.0,3840x2160,Apple M2,64GB,1TB SSD,NVIDIA RTX 4070,Windows 11,1.0kg,183117.86
350,Dell,Workstation,16.0,1920x1080,Apple M3 Pro,16GB,1TB SSD,Integrated AMD Radeon,Windows 10,1.35kg,82373.66
351,Acer,2 in 1 Convertible,14.0,2560x1600,Apple M2,64GB,512GB SSD,NVIDIA RTX 4050,Windows 11,1.88kg,202978.39
352,Samsung,Gaming,14.0,1920x1080,Intel Core i9 13900H 5.4GHz,16GB,256GB SSD,Apple M3 GPU,Windows 10,2.39kg,41244.19
353,Asus,Gaming,16.0,2560x1600,Intel Core i5 1240P 3.3GHz,8GB,512GB SSD,NVIDIA RTX 4060,No OS,2.26kg,81710.4
354,Acer,Gaming,16.0,1920x1080,Apple M3 Pro,64GB,1TB SSD,Intel Iris Xe,Windows 11,1.71kg,210093.9
355,Apple,Netbook,17.3,Retina 2560x1600,Intel Core i5 1240P 3.3GHz,64GB,1TB SSD,AMD Radeon 780M,Windows 10,1.48kg,40434.94
356,Apple,Notebook,17.3,OLED 2880x1800,Intel Core i7 1360P 3.7GHz,8GB,256GB SSD,Apple M3 GPU,No OS,1.02kg,236446.27
357,Dell,Notebook,17.3,IPS Panel 1920x1080,Apple M3 Pro,64GB,2TB SSD,Intel Iris Xe,macOS,1.47kg,120426.96
358,Razer,Workstation,13.3,Retina 2560x1600,Apple M3 Pro,64GB,512GB SSD,Integrated AMD Radeon,Windows 10,1.53kg,50934.48
359,Dell,Netbook,14.0,1920x1200,Intel Core i9 13900H 5.4GHz,8GB,1TB SSD,Intel Iris Xe,Windows 10,1.91kg,117847.48
360,Apple,2 in 1 Convertible,13.3,2560x1600,Intel Core i5 1240P 3.3GHz,32GB,256GB SSD,AMD Radeon 780M,Windows 11,1.54kg,208001.14
361,Lenovo,Ultrabook,16.0,3840x2160,Intel Core i9 13900H 5.4GHz,16GB,2TB SSD,NVIDIA RTX 4060,Windows 11,2.48kg,53229.96
362,Dell,Notebook,13.3,Retina 2560x1600,Intel Core i5 1240P 3.3GHz,64GB,1TB SSD,AMD Radeon 780M,No OS,1.68kg,185567.87
363,HP,2 in 1 Convertible,13.3,IPS Panel 1920x1080,Apple M2,8GB,256GB SSD,NVIDIA RTX 4060,Linux,2.45kg,95418.32
364,Dell,2 in 1 Convertible,17.3,1920x1080,Intel Core i7 1360P 3.7GHz,32GB,512GB SSD,Intel Iris Xe,Linux,2.32kg,214469.19
365,Acer,Notebook,15.6,OLED 2880x1800,Intel Core i9 13900H 5.4GHz,64GB,512GB SSD,NVIDIA RTX 4060,No OS,1.57kg,75225.32
366,Lenovo,Notebook,16.0,1920x1200,Intel Core i5 1240P 3.3GHz,64GB,1TB SSD,Intel Iris Xe,macOS,1.26kg,116259.68
367,Samsung,Netbook,15.6,1920x1200,Apple M3 Pro,8GB,256GB SSD,NVIDIA RTX 4060,No OS,2.02kg,64880.16
368,Samsung,2 in 1 Convertible,14.0,3840x2160,Apple M3 Pro,16GB,256GB SSD,NVIDIA RTX 4060,Linux,2.11kg,187878.05
369,HP,Gaming,17.3,2880x1800,Intel Core i7 1360P 3.7GHz,64GB,256GB SSD,NVIDIA RTX 4050,Linux,1.03kg,226329.69
370,MSI,Netbook,14.0,1920x1200,Intel Core i7 1360P 3.7GHz,8GB,2TB SSD,AMD Radeon 780M,Windows 11,2.12kg,215926.55
371,Lenovo,Ultrabook,17.3,IPS Panel 1920x1080,Intel Core i9 13900H 5.4GHz,16GB,256GB SSD,NVIDIA RTX 4070,Linux,1.57kg,31524.09
372,Asus,Gaming,13.3,3840x2160,AMD Ryzen 7 7840HS 3.8GHz,16GB,256GB SSD,NVIDIA RTX 4060,Windows 11,1.22kg,170903.85
373,Dell,Workstation,14.0,3840x2160,Intel Core i7 1360P 3.7GHz,16GB,1TB SSD,NVIDIA RTX 4060,macOS,2.28kg,77070.25
374,Apple,Workstation,13.3,1920x1080,Apple M3 Pro,32GB,512GB SSD,Apple M3 GPU,Linux,2.27kg,134131.08
375,Razer,2 in 1 Convertible,14.0,2880x1800,AMD Ryzen 5 7530U 2.0GHz,16GB,256GB SSD,AMD Radeon 780M,Linux,2.48kg,204194.89
376,Microsoft,Notebook,17.3,3840x2160,AMD Ryzen 7 7840HS 3.8GHz,16GB,2TB SSD,Apple M3 GPU,Windows 10,1.95kg,131880.76
377,MSI,2 in 1 Convertible,17.3,2880x1800,Intel Core i7 1360P 3.7GHz,8GB,512GB SSD,NVIDIA RTX 4050,Linux,2.44kg,134025.47
378,MSI,Ultrabook,15.6,2880x1800,Apple M3 Pro,32GB,2TB SSD,Intel Iris Xe,Windows 10,1.51kg,46881.09
379,Apple,Gaming,14.0,1920x1200,Apple M2,16GB,512GB SSD,Intel Iris Xe,Windows 11,1.05kg,64407.61
380,Razer,Gaming,14.0,OLED 2880x1800,Apple M3 Pro,32GB,2TB SSD,Intel Iris Xe,No OS,1.84kg,182648.82
381,MSI,Gaming,15.6,OLED 2880x1800,Intel Core i7 1360P 3.7GHz,16GB,2TB SSD,Apple M3 GPU,Windows 11,1.77kg,58843.44
382,Apple,Notebook,16.0,2880x1800,AMD Ryzen 5 7530U 2.0GHz,32GB,2TB SSD,AMD Radeon 780M,Windows 10,1.17kg,66229.81
383,Samsung,2 in 1 Convertible,17.3,OLED 2880x1800,Apple M3 Pro,16GB,512GB SSD,Integrated AMD Radeon,Windows 11,2.34kg,71509.34
384,Microsoft,Netbook,13.3,2880x1800,Intel Core i5 1240P 3.3GHz,32GB,2TB SSD,Intel Iris Xe,Linux,1.81kg,171393.74
385,Dell,Ultrabook,13.3,2880x1800,Intel Core i9 13900H 5.4GHz,16GB,1TB SSD,Integrated AMD Radeon,Windows 11,1.08kg,182169.45
386,Razer,2 in 1 Convertible,14.0,2880x1800,Intel Core i7 1360P 3.7GHz,32GB,256GB SSD,Intel Iris Xe,Windows 11,1.91kg,124186.25
387,Asus,2 in 1 Convertible,15.6,1920x1200,Apple M3 Pro,64GB,1TB SSD,NVIDIA RTX 4070,Windows 11,1.12kg,202571.08
388,Asus,Netbook,14.0,2560x1600,Intel Core i7 1360P 3.7GHz,32GB,1TB SSD,NVIDIA RTX 4050,No OS,1.88kg,104335.35
389,Apple,Ultrabook,16.0,3840x2160,AMD Ryzen 5 7530U 2.0GHz,8GB,1TB SSD,NVIDIA RTX 4060,No OS,2.41kg,123870.93
390,Apple,2 in 1 Convertible,15.6,IPS Panel 1920x1080,AMD Ryzen 5 7530U 2.0GHz,32GB,512GB SSD,Intel Iris Xe,No OS,1.36kg,142512.85
391,Acer,Netbook,15.6,Retina 2560x1600,AMD Ryzen 7 7840HS 3.8GHz,32GB,256GB SSD,NVIDIA RTX 4060,macOS,1.87kg,107287.66
392,Acer,Workstation,16.0,Retina 2560x1600,AMD Ryzen 7 7840HS 3.8GHz,16GB,256GB SSD,Apple M3 GPU,No OS,2.47kg,128360.29
393,MSI,Gaming,16.0,IPS Panel 1920x1080,Intel Core i5 1240P 3.3GHz,16GB,512GB SSD,Apple M3 GPU,No OS,1.13kg,175047.88
394,Lenovo,Workstation,15.6,1920x1200,Intel Core i9 13900H 5.4GHz,64GB,256GB SSD,Integrated AMD Radeon,Linux,1.16kg,123391.95
395,Acer,2 in 1 Convertible,15.6,2880x1800,AMD Ryzen 7 7840HS 3.8GHz,32GB,512GB SSD,NVIDIA RTX 4070,No OS,1.65kg,205885.62
396,MSI,Workstation,14.0,OLED 2880x1800,Intel Core i7 1360P 3.7GHz,32GB,256GB SSD,Intel Iris Xe,Windows 10,2.35kg,179372.87
397,Microsoft,Ultrabook,16.0,2880x1800,AMD Ryzen 7 7840HS 3.8GHz,8GB,1TB SSD,Integrated AMD Radeon,macOS,2.04kg,169249.2
398,Microsoft,Ultrabook,13.3,Retina 2560x1600,Apple M2,8GB,2TB SSD,Intel Iris Xe,Linux,2.35kg,180860.9
399,Asus,Netbook,13.3,IPS Panel 1920x1080,Apple M3 Pro,16GB,1TB SSD,Integrated AMD Radeon,No OS,1.15kg,58968.7
400,Samsung,Gaming,15.6,3840x2160,Intel Core i7 1360P 3.7GHz,8GB,256GB SSD,Intel Iris Xe,No OS,1.37kg,233990.25
401,Dell,Netbook,14.0,IPS Panel 1920x1080,Intel Core i5 1240P 3.3GHz,8GB,2TB SSD,Integrated AMD Radeon,Linux,1.26kg,114100.4
402,Samsung,Gaming,13.3,IPS Panel 1920x1080,Apple M2,8GB,2TB SSD,Integrated AMD Radeon,Linux,1.6kg,94415.86
403,Razer,Gaming,16.0,2880x1800,AMD Ryzen 5 7530U 2.0GHz,16GB,1TB SSD,Integrated AMD Radeon,No OS,1.69kg,47977.61
404,Asus,Notebook,17.3,1920x1200,AMD Ryzen 5 7530U 2.0GHz,64GB,2TB SSD,NVIDIA RTX 4060,Linux,1.24kg,84827.96
405,HP,Gaming,16.0,3840x2160,Intel Core i7 1360P 3.7GHz,64GB,1TB SSD,NVIDIA RTX 4060,Windows 11,1.22kg,149764.34
406,HP,Workstation,16.0,1920x1200,Intel Core i5 1240P 3.3GHz,16GB,256GB SSD,Apple M3 GPU,Windows 10,1.19kg,50654.21
407,MSI,Netbook,14.0,IPS Panel 1920x1080,AMD Ryzen 5 7530U 2.0GHz,16GB,1TB SSD,Intel Iris Xe,Windows 11,1.41kg,47932.58
408,Apple,2 in 1 Convertible,15.6,3840x2160,Apple M2,64GB,2TB SSD,NVIDIA RTX 4070,Windows 10,1.36kg,248548.02
409,HP,Workstation,13.3,Retina 2560x1600,Intel Core i9 13900H 5.4GHz,32GB,256GB SSD,NVIDIA RTX 4060,Linux,1.79kg,215327.78
410,Microsoft,Gaming,13.3,IPS Panel 1920x1080,Apple M2,8GB,512GB SSD,NVIDIA RTX 4050,Windows 10,1.28kg,134051.38
411,Dell,Netbook,14.0,3840x2160,AMD Ryzen 7 7840HS 3.8GHz,32GB,2TB SSD,Apple M3 GPU,Windows 10,1.88kg,229989.39
412,Asus,Notebook,16.0,OLED 2880x1800,Apple M2,32GB,1TB SSD,NVIDIA RTX 4070,Windows 10,2.4kg,182818.36
413,HP,Gaming,15.6,2560x1600,Intel Core i7 1360P 3.7GHz,16GB,1TB SSD,Integrated AMD Radeon,macOS,1.24kg,124093.69
414,HP,Gaming,13.3,IPS Panel 1920x1080,Intel Core i7 1360P 3.7GHz,16GB,2TB SSD,AMD Radeon 780M,Windows 11,1.39kg,49035.38
415,Apple,Notebook,16.0,OLED 2880x1800,AMD Ryzen 7 7840HS 3.8GHz,8GB,256GB SSD,NVIDIA RTX 4050,Windows 10,2.18kg,52991.82
416,Acer,2 in 1 Convertible,16.0,OLED 2880x1800,AMD Ryzen 7 7840HS 3.8GHz,32GB,512GB SSD,NVIDIA RTX 4060,Linux,2.0kg,233319.2
417,Samsung,2 in 1 Convertible,17.3,1920x1080,Intel Core i5 1240P 3.3GHz,64GB,1TB SSD,AMD Radeon 780M,macOS,2.41kg,142016.88
418,Asus,Ultrabook,14.0,IPS Panel 1920x1080,AMD Ryzen 5 7530U 2.0GHz,8GB,256GB SSD,AMD Radeon 780M,Windows 11,1.77kg,160033.36
419,MSI,Workstation,17.3,2880x1800,Intel Core i5 1240P 3.3GHz,32GB,2TB SSD,NVIDIA RTX 4060,Windows 11,2.23kg,164537.46
420,HP,Netbook,13.3,2880x1800,Apple M2,32GB,2TB SSD,Integrated AMD Radeon,No OS,1.9kg,231172.09
421,Lenovo,Notebook,17.3,Retina 2560x1600,Apple M3 Pro,64GB,256GB SSD,AMD Radeon 780M,Linux,2.0kg,38986.63
422,Microsoft,Ultrabook,14.0,IPS Panel 1920x1080,Intel Core i5 1240P 3.3GHz,64GB,1TB SSD,NVIDIA RTX 4070,Windows 11,2.11kg,179875.81
423,Samsung,Netbook,16.0,1920x1080,Apple M2,32GB,1TB SSD,Intel Iris Xe,Linux,1.76kg,177387.42
424,Acer,Netbook,17.3,Retina 2560x1600,Intel Core i5 1240P 3.3GHz,8GB,256GB SSD,NVIDIA RTX 4070,Windows 10,2.26kg,212335.32
425,Apple,Workstation,16.0,3840x2160,AMD Ryzen 7 7840HS 3.8GHz,16GB,1TB SSD,AMD Radeon 780M,macOS,2.21kg,167385.25
426,Acer,Gaming,16.0,1920x1200,Intel Core i5 1240P 3.3GHz,8GB,2TB SSD,NVIDIA RTX 4050,macOS,2.33kg,106104.07
427,Dell,Notebook,14.0,2880x1800,Intel Core i7 1360P 3.7GHz,8GB,2TB SSD,NVIDIA RTX 4070,Windows 11,1.0kg,149367.07
428,Dell,Netbook,15.6,3840x2160,Apple M2,64GB,1TB SSD,Apple M3 GPU,Linux,1.43kg,156008.61
429,Asus,Notebook,17.3,2560x1600,Intel Core i5 1240P 3.3GHz,16GB,512GB SSD,Intel Iris Xe,No OS,1.65kg,203283.73
430,Samsung,Netbook,13.3,1920x1080,AMD Ryzen 7 7840HS 3.8GHz,8GB,2TB SSD,NVIDIA RTX 4070,macOS,2.33kg,213819.01
431,Asus,2 in 1 Convertible,15.6,3840x2160,Intel Core i5 1240P 3.3GHz,8GB,512GB SSD,AMD Radeon 780M,Windows 10,2.46kg,48294.34
432,Dell,Notebook,16.0,IPS Panel 1920x1080,AMD Ryzen 7 7840HS 3.8GHz,16GB,512GB SSD,Integrated AMD Radeon,No OS,1.05kg,163116.54
433,Microsoft,Gaming,15.6,1920x1080,Intel Core i9 13900H 5.4GHz,64GB,2TB SSD,Integrated AMD Radeon,Linux,1.43kg,114766.39
434,Apple,Ultrabook,15.6,3840x2160,Intel Core i9 13900H 5.4GHz,8GB,256GB SSD,Apple M3 GPU,Windows 11,2.06kg,123954.06
435,Acer,Workstation,14.0,1920x1080,Apple M2,32GB,256GB SSD,NVIDIA RTX 4060,Linux,1.12kg,64376.39
436,Apple,Ultrabook,14.0,2880x1800,AMD Ryzen 5 7530U 2.0GHz,32GB,1TB SSD,NVIDIA RTX 4060,Windows 11,1.48kg,230417.52
437,Samsung,Gaming,16.0,1920x1080,Intel Core i7 1360P 3.7GHz,32GB,1TB SSD,Intel Iris Xe,Windows 10,1.47kg,120021.44
438,MSI,Netbook,15.6,2560x1600,Apple M3 Pro,32GB,256GB SSD,Integrated AMD Radeon,Linux,1.92kg,137614.63
439,Samsung,Netbook,15.6,3840x2160,Apple M2,16GB,256GB SSD,AMD Radeon 780M,No OS,1.42kg,239807.86
440,Dell,Gaming,15.6,OLED 2880x1800,AMD Ryzen 5 7530U 2.0GHz,64GB,256GB SSD,NVIDIA RTX 4060,Windows 10,2.33kg,46613.1
441,Dell,Ultrabook,16.0,OLED 2880x1800,AMD Ryzen 7 7840HS 3.8GHz,8GB,1TB SSD,NVIDIA RTX 4060,Windows 11,1.44kg,230042.92
442,Microsoft,Notebook,17.3,3840x2160,Intel Core i9 13900H 5.4GHz,16GB,256GB SSD,NVIDIA RTX 4060,Windows 10,1.92kg,142736.07
443,Samsung,Workstation,13.3,3840x2160,Intel Core i5 1240P 3.3GHz,32GB,2TB SSD,NVIDIA RTX 4070,Windows 11,1.64kg,56224.17
444,MSI,Notebook,13.3,Retina 2560x1600,Intel Core i5 1240P 3.3GHz,64GB,256GB SSD,Apple M3 GPU,Linux,1.88kg,166743.88
445,Apple,2 in 1 Convertible,16.0,IPS Panel 1920x1080,Apple M2,8GB,512GB SSD,NVIDIA RTX 4050,Windows 10,1.61kg,145368.14
446,Microsoft,Netbook,16.0,OLED 2880x1800,Intel Core i5 1240P 3.3GHz,64GB,2TB SSD,AMD Radeon 780M,Windows 10,2.2kg,85568.72
447,MSI,Workstation,16.0,OLED 2880x1800,Apple M2,32GB,512GB SSD,NVIDIA RTX 4070,No OS,2.07kg,115042.55
448,Asus,Workstation,16.0,1920x1200,AMD Ryzen 5 7530U 2.0GHz,64GB,512GB SSD,NVIDIA RTX 4050,Windows 10,1.56kg,221655.64
449,Asus,Workstation,13.3,2560x1600,Intel Core i9 13900H 5.4GHz,16GB,256GB SSD,Intel Iris Xe,Windows 10,2.48kg,168016.06
450,Razer,Netbook,16.0,2560x1600,AMD Ryzen 5 7530U 2.0GHz,16GB,1TB SSD,Apple M3 GPU,macOS,1.71kg,93626.92
451,Razer,2 in 1 Convertible,15.6,IPS Panel 1920x1080,Apple M3 Pro,16GB,2TB SSD,NVIDIA RTX 4050,macOS,1.86kg,59123.72
452,Asus,Notebook,14.0,IPS Panel 1920x1080,Intel Core i7 1360P 3.7GHz,64GB,512GB SSD,NVIDIA RTX 4070,Windows 11,2.09kg,62482.52
453,Asus,Workstation,15.6,2880x1800,Intel Core i9 13900H 5.4GHz,64GB,256GB SSD,Apple M3 GPU,macOS,1.24kg,82429.01
454,HP,Workstation,17.3,1920x1200,Apple M3 Pro,32GB,256GB SSD,Integrated AMD Radeon,macOS,1.86kg,166556.36
455,Dell,Notebook,17.3,OLED 2880x1800,AMD Ryzen 5 7530U 2.0GHz,32GB,2TB SSD,NVIDIA RTX 4050,No OS,2.23kg,228356.34
456,Dell,Notebook,13.3,2560x1600,Intel Core i7 1360P 3.7GHz,16GB,512GB SSD,NVIDIA RTX 4060,Windows 11,2.02kg,157511.65
457,Dell,Notebook,17.3,1920x1200,AMD Ryzen 5 7530U 2.0GHz,32GB,2TB SSD,Intel Iris Xe,Windows 10,1.98kg,79884.93
458,MSI,Workstation,16.0,2560x1600,Intel Core i9 13900H 5.4GHz,64GB,512GB SSD,Apple M3 GPU,Linux,1.46kg,47171.31
459,HP,2 in 1 Convertible,16.0,2560x1600,AMD Ryzen 7 7840HS 3.8GHz,64GB,512GB SSD,NVIDIA RTX 4070,No OS,1.05kg,133880.46
460,Razer,Ultrabook,13.3,1920x1200,Intel Core i9 13900H 5.4GHz,32GB,256GB SSD,NVIDIA RTX 4070,Windows 11,1.19kg,114376.08
461,Asus,Netbook,14.0,Retina 2560x1600,Apple M3 Pro,16GB,512GB SSD,AMD Radeon 780M,Windows 11,1.59kg,208823.34
462,Lenovo,Ultrabook,17.3,2560x1600,AMD Ryzen 5 7530U 2.0GHz,32GB,256GB SSD,NVIDIA RTX 4050,Windows 11,2.48kg,40276.16
463,Dell,Notebook,16.0,2560x1600,Intel Core i9 13900H 5.4GHz,16GB,256GB SSD,AMD Radeon 780M,macOS,1.36kg,200028.67
464,Dell,Gaming,14.0,OLED 2880x1800,Intel Core i7 1360P 3.7GHz,32GB,512GB SSD,AMD Radeon 780M,No OS,2.34kg,206991.26
465,Microsoft,2 in 1 Convertible,16.0,1920x1080,Intel Core i7 1360P 3.7GHz,8GB,2TB SSD,Integrated AMD Radeon,Linux,1.15kg,89465.21
466,HP,Ultrabook,16.0,3840x2160,Intel Core i7 1360P 3.7GHz,8GB,256GB SSD,NVIDIA RTX 4060,Windows 11,2.42kg,243758.17
467,Apple,Gaming,17.3,1920x1080,AMD Ryzen 5 7530U 2.0GHz,64GB,1TB SSD,NVIDIA RTX 4070,Windows 11,2.27kg,195725.35
468,Asus,Gaming,14.0,2560x1600,Apple M3 Pro,32GB,1TB SSD,Intel Iris Xe,No OS,2.32kg,57802.19
469,Samsung,Netbook,15.6,Retina 2560x1600,Apple M3 Pro,8GB,256GB SSD,NVIDIA RTX 4050,No OS,2.33kg,62993.55
470,Acer,Ultrabook,14.0,1920x1080,AMD Ryzen 7 7840HS 3.8GHz,64GB,256GB SSD,Apple M3 GPU,Windows 10,1.68kg,101241.41
471,Dell,2 in 1 Convertible,16.0,Retina 2560x1600,AMD Ryzen 7 7840HS 3.8GHz,32GB,1TB SSD,Apple M3 GPU,No OS,1.85kg,156577.49
472,Microsoft,Gaming,15.6,OLED 2880x1800,Intel Core i9 13900H 5.4GHz,16GB,1TB SSD,NVIDIA RTX 4070,Windows 11,1.51kg,244072.92
473,Acer,Ultrabook,14.0,3840x2160,AMD Ryzen 7 7840HS 3.8GHz,64GB,1TB SSD,Apple M3 GPU,Windows 11,1.73kg,168206.51
474,Asus,2 in 1 Convertible,14.0,2880x1800,AMD Ryzen 7 7840HS 3.8GHz,32GB,256GB SSD,NVIDIA RTX 4060,Windows 11,1.02kg,162266.15
475,Acer,Notebook,15.6,1920x1200,Intel Core i5 1240P 3.3GHz,32GB,2TB SSD,AMD Radeon 780M,macOS,1.64kg,221844.15
476,Apple,Netbook,15.6,1920x1080,Intel Core i9 13900H 5.4GHz,16GB,256GB SSD,Apple M3 GPU,macOS,1.14kg,64862.08
477,MSI,2 in 1 Convertible,14.0,1920x1080,AMD Ryzen 7 7840HS 3.8GHz,16GB,2TB SSD,NVIDIA RTX 4060,No OS,2.16kg,203946.68
478,Asus,2 in 1 Convertible,15.6,IPS Panel 1920x1080,Apple M2,16GB,256GB SSD,AMD Radeon 780M,Windows 10,1.12kg,41190.38
479,HP,Gaming,13.3,2560x1600,Intel Core i5 1240P 3.3GHz,8GB,1TB SSD,NVIDIA RTX 4050,Linux,1.06kg,80094.04
480,Apple,Gaming,17.3,3840x2160,Intel Core i9 13900H 5.4GHz,8GB,256GB SSD,Intel Iris Xe,macOS,1.47kg,238616.1
481,Apple,Notebook,16.0,3840x2160,Intel Core i9 13900H 5.4GHz,16GB,1TB SSD,Intel Iris Xe,No OS,1.27kg,116612.1
482,Microsoft,Gaming,14.0,1920x1200,Intel Core i7 1360P 3.7GHz,64GB,512GB SSD,Apple M3 GPU,No OS,1.09kg,84192.69
483,Razer,Workstation,17.3,1920x1080,Intel Core i5 1240P 3.3GHz,32GB,512GB SSD,AMD Radeon 780M,macOS,1.27kg,188586.69
484,Microsoft,Workstation,13.3,3840x2160,Intel Core i7 1360P 3.7GHz,32GB,2TB SSD,NVIDIA RTX 4070,macOS,2.44kg,246761.57
485,Lenovo,Notebook,17.3,2880x1800,Intel Core i7 1360P 3.7GHz,8GB,2TB SSD,Integrated AMD Radeon,Linux,1.56kg,91316.36
486,Microsoft,Workstation,14.0,OLED 2880x1800,Apple M3 Pro,32GB,512GB SSD,Apple M3 GPU,Linux,1.74kg,37786.48
487,HP,Notebook,13.3,OLED 2880x1800,Intel Core i5 1240P 3.3GHz,32GB,1TB SSD,NVIDIA RTX 4060,Windows 11,2.01kg,100895.6
488,Samsung,Gaming,13.3,1920x1200,AMD Ryzen 7 7840HS 3.8GHz,32GB,512GB SSD,NVIDIA RTX 4060,macOS,2.26kg,152212.7
489,Microsoft,Ultrabook,13.3,1920x1080,Apple M3 Pro,64GB,512GB SSD,NVIDIA RTX 4050,macOS,1.54kg,97107.51
490,Samsung,Notebook,16.0,1920x1200,AMD Ryzen 5 7530U 2.0GHz,32GB,2TB SSD,NVIDIA RTX 4060,Linux,1.08kg,102574.96
491,Apple,2 in 1 Convertible,13.3,Retina 2560x1600,Apple M3 Pro,16GB,512GB SSD,NVIDIA RTX 4050,Windows 11,1.73kg,243089.78
492,MSI,Netbook,16.0,Retina 2560x1600,Apple M2,16GB,2TB SSD,Apple M3 GPU,Linux,1.09kg,71773.61
493,MSI,Workstation,15.6,1920x1200,Apple M2,32GB,256GB SSD,AMD Radeon 780M,macOS,2.13kg,44402.5
494,Dell,2 in 1 Convertible,17.3,Retina 2560x1600,AMD Ryzen 7 7840HS 3.8GHz,8GB,1TB SSD,AMD Radeon 780M,Windows 11,1.07kg,61745.98
495,Lenovo,2 in 1 Convertible,17.3,Retina 2560x1600,AMD Ryzen 5 7530U 2.0GHz,8GB,1TB SSD,Apple M3 GPU,macOS,1.3kg,154044.95
496,Acer,Gaming,15.6,IPS Panel 1920x1080,Intel Core i9 13900H 5.4GHz,32GB,512GB SSD,NVIDIA RTX 4060,Windows 10,2.05kg,95150.46
497,Acer,2 in 1 Convertible,14.0,2560x1600,Intel Core i5 1240P 3.3GHz,32GB,1TB SSD,Apple M3 GPU,Windows 11,1.8kg,212954.56
498,Dell,Ultrabook,14.0,2560x1600,Apple M3 Pro,32GB,256GB SSD,Apple M3 GPU,macOS,2.04kg,43252.1
499,Lenovo,Notebook,17.3,IPS Panel 1920x1080,Intel Core i7 1360P 3.7GHz,16GB,512GB SSD,Apple M3 GPU,Linux,2.02kg,52586.45
500,Asus,2 in 1 Convertible,13.3,2880x1800,AMD Ryzen 7 7840HS 3.8GHz,16GB,2TB SSD,NVIDIA RTX 4050,Windows 11,1.24kg,207630.34
501,Samsung,Netbook,14.0,2880x1800,AMD Ryzen 5 7530U 2.0GHz,64GB,512GB SSD,NVIDIA RTX 4070,Windows 10,1.66kg,228454.12
502,MSI,Notebook,16.0,2560x1600,Intel Core i7 1360P 3.7GHz,8GB,1TB SSD,AMD Radeon 780M,Linux,1.16kg,110604.33
503,MSI,2 in 1 Convertible,13.3,1920x1200,AMD Ryzen 7 7840HS 3.8GHz,32GB,1TB SSD,Integrated AMD Radeon,macOS,1.16kg,166558.97
504,Samsung,Ultrabook,16.0,3840x2160,Intel Core i9 13900H 5.4GHz,16GB,2TB SSD,NVIDIA RTX 4060,Linux,2.24kg,238612.17
505,Apple,Netbook,13.3,IPS Panel 1920x1080,AMD Ryzen 7 7840HS 3.8GHz,32GB,2TB SSD,NVIDIA RTX 4050,Windows 10,1.26kg,248278.56
506,Acer,Netbook,15.6,OLED 2880x1800,AMD Ryzen 5 7530U 2.0GHz,8GB,1TB SSD,Integrated AMD Radeon,macOS,1.77kg,217805.24
507,Razer,Netbook,17.3,Retina 2560x1600,Intel Core i9 13900H 5.4GHz,64GB,2TB SSD,AMD Radeon 780M,No OS,1.69kg,33745.94
508,Razer,2 in 1 Convertible,17.3,Retina 2560x1600,AMD Ryzen 7 7840HS 3.8GHz,32GB,2TB SSD,NVIDIA RTX 4050,Windows 11,1.88kg,220538.01
509,Razer,2 in 1 Convertible,14.0,1920x1080,Apple M3 Pro,64GB,256GB SSD,Apple M3 GPU,macOS,1.93kg,153767.9
510,Razer,2 in 1 Convertible,15.6,1920x1200,AMD Ryzen 7 7840HS 3.8GHz,32GB,256GB SSD,Integrated AMD Radeon,No OS,1.76kg,121695.3
511,Lenovo,Notebook,16.0,OLED 2880x1800,AMD Ryzen 5 7530U 2.0GHz,16GB,512GB SSD,AMD Radeon 780M,macOS,2.02kg,75952.42
512,MSI,Netbook,15.6,IPS Panel 1920x1080,AMD Ryzen 5 7530U 2.0GHz,8GB,2TB SSD,Integrated AMD Radeon,Linux,2.29kg,246214.9
513,Samsung,Gaming,14.0,2560x1600,AMD Ryzen 5 7530U 2.0GHz,8GB,256GB SSD,Apple M3 GPU,Windows 11,2.32kg,36646.74
514,Apple,Netbook,17.3,2560x1600,Intel Core i5 1240P 3.3GHz,32GB,512GB SSD,NVIDIA RTX 4070,macOS,1.04kg,66584.07
515,HP,Gaming,17.3,2880x1800,Intel Core i9 13900H 5.4GHz,32GB,256GB SSD,Intel Iris Xe,Windows 10,1.92kg,204274.95
516,Acer,Gaming,16.0,1920x1200,AMD Ryzen 7 7840HS 3.8GHz,16GB,256GB SSD,NVIDIA RTX 4070,Windows 10,1.56kg,187127.31
517,Asus,Ultrabook,16.0,2560x1600,Intel Core i7 1360P 3.7GHz,8GB,512GB SSD,NVIDIA RTX 4060,Windows 10,1.96kg,242872.08
518,HP,2 in 1 Convertible,13.3,2560x1600,Apple M3 Pro,16GB,512GB SSD,Integrated AMD Radeon,Windows 10,1.05kg,59841.07
